mouse,choice,delay,location,opto,rt,sessid
OLI-M-0116,0,1,10,1,0.189500000000001,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.184,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,0,5,1,0.177,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.3001,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1903,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.1562,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1788,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.189500000000001,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,0,4,1,0.1612,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,0,18,1,0.1661,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,2,1,0.1499,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1526,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,12,1,0.174099999999999,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.2121,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,1,16,1,0.1783,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.206600000000001,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1607,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,7,1,0.1694,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1876,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1625,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,13,1,0.1866,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.183200000000001,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,0,9,1,0.1587,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1963,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.2213,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,0,6,1,0.1473,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,1,14,1,0.1568,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,20,1,0.1726,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.1621,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,0,15,1,0.1669,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.1443,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.150300000000001,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,8,1,0.1975,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1604,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.1675,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1859,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,0,21,1,0.1517,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1542,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1798,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.2193,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1701,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1627,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,0,3,1,0.1535,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1868,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,0,1,1,0.1616,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,0,11,1,0.1456,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.1381,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,0,17,1,0.1666,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,NaN,NaN,0,0.1805,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,19,1,0.1617,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,NaN,NaN,0,0.164600000000001,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,0,19,1,0.158300000000001,04-Dec-2025_OLI-M-0116
OLI-M-0116,0,0,18,1,0.127899999999999,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,11,1,0.2141,04-Dec-2025_OLI-M-0116
OLI-M-0116,1,1,21,1,0.1713,04-Dec-2025_OLI-M-0116
