Condition,AP (mm),ML (mm),RT Mean (s),RT SEM (s),P-value,n trials
0,,,1.0663905135858205,0.00784942209549572,,85797
1,-0.5,-0.5,1.2096848246512835,0.044168379372149985,0.0014160525377299544,2930
2,0.0,-0.5,0.9463141863366967,0.04740996421212959,0.012531414584182372,2263
3,0.5,-0.5,0.9268299054470878,0.044864144296256084,0.002206716842561738,2273
4,1.0,-0.5,0.963976103009573,0.04777046382141577,0.034492499656756076,2195
5,1.5,-0.5,0.9282438207513386,0.04342174471852395,0.0017653426686208527,2164
6,2.0,-0.5,0.9712576932208062,0.04800390444128753,0.05061008172232247,2178
7,2.5,-0.5,0.9850741532483165,0.05121133547705594,0.11665950359545417,2242
8,3.0,-0.5,1.0064795336100596,0.0455442781101363,0.1949863565772288,2249
9,3.5,-0.5,1.064369871268454,0.051205622252270405,0.968889202135451,2209
10,-0.5,-1.0,0.9629220837740557,0.04351387822152203,0.01936330032315693,2225
11,0.0,-1.0,1.005657289226087,0.048423666440764006,0.21582442204051488,2205
12,0.5,-1.0,1.0193693474877692,0.04468185846881557,0.3000849741936361,2185
13,1.0,-1.0,0.9905033083759288,0.048396838682245404,0.12180607384772538,2238
14,1.5,-1.0,1.0091992000379717,0.04889816292303843,0.24828141278685767,2268
15,2.0,-1.0,1.1490265963060056,0.05342023381219684,0.1260379744194759,2195
16,2.5,-1.0,1.4080933311853552,0.06827447099587564,7.129321540861306e-07,2169
17,3.0,-1.0,1.5462967970801385,0.0654801697293856,4.681270296043095e-13,2208
18,3.5,-1.0,1.4237578093642203,0.06523153214767752,5.935281791526719e-08,2174
19,0.0,-1.5,0.9960695315971576,0.04447906134652744,0.11962091678649313,2215
20,0.5,-1.5,1.2406299625862958,0.057627351503119754,0.0027650549217804327,2266
21,1.0,-1.5,1.185842590532216,0.057941419039301605,0.04117271039260632,2209
22,1.5,-1.5,0.9934049797731412,0.04523179926944528,0.11200367025767757,2293
23,2.0,-1.5,1.0183718873816512,0.0441145817304631,0.2839787565090834,2241
24,2.5,-1.5,1.3359225624944278,0.059513952692714596,7.474432785955768e-06,2220
25,3.0,-1.5,1.861355399937236,0.07233220593668852,4.146728736271282e-27,2178
26,3.5,-1.5,1.569496326783558,0.06484273197731145,1.957096779559091e-14,2263
27,0.5,-2.0,1.1778267151655146,0.05641068257248893,0.050510870779383876,2314
28,1.0,-2.0,1.2450735787209988,0.05662228138740024,0.0017951936297773581,2226
29,1.5,-2.0,1.0556123372346742,0.050603592072418074,0.8333152760603428,2210
30,2.0,-2.0,0.965024328260537,0.045950879633326724,0.02976861756835787,2234
31,2.5,-2.0,1.169007885960731,0.0570528933363904,0.07491298602485189,2097
32,3.0,-2.0,1.5103164185214284,0.06270354487969637,2.803050650640873e-12,2251
33,-1.0,-2.5,1.262569147878036,0.057794047628784324,0.0007815909125118906,2301
34,-0.5,-2.5,1.0515519342803417,0.05060961455986379,0.7720466796378869,2205
35,0.0,-2.5,1.0004487664277164,0.05064222673180521,0.19830798068989164,2276
36,0.5,-2.5,0.9289456642263908,0.04523567878849773,0.0027846762944605703,2247
37,1.0,-2.5,1.0816222117516578,0.0531082421134725,0.7766478940655549,2260
38,1.5,-2.5,0.9427034763489096,0.04602281523667693,0.008121675254433153,2187
39,2.0,-2.5,0.926503059812785,0.043514483449099195,0.0015776770927183584,2221
40,2.5,-2.5,1.086488074211245,0.04906936906150259,0.68593160370307,2224
41,3.0,-2.5,1.1903899144799717,0.05150488001670536,0.01739306397348428,2157
42,-0.5,-3.0,1.086968844197867,0.052622536213675936,0.6989582282476319,2167
43,0.0,-3.0,0.9325842731495771,0.04889967162213618,0.006947966730995718,2192
44,0.5,-3.0,0.9793458817295555,0.05169854553938531,0.0961271596469543,2166
45,1.0,-3.0,0.9770673144819585,0.047535177769236436,0.06386575877517926,2229
46,1.5,-3.0,0.8962763904665834,0.04484279946548313,0.0001907799303526278,2252
47,2.0,-3.0,0.9958022966939023,0.0469540162219469,0.13826382957615543,2319
48,2.5,-3.0,1.022644184825983,0.04838783706793681,0.3722661022542655,2179
49,1.5,-3.5,0.956490025801969,0.04660823138365598,0.02014654627721762,2184
50,2.0,-3.5,0.951213335838805,0.042948589776121975,0.008389357839436595,2379
51,3.22,-0.23,1.0473512231259106,0.050715953875921295,0.7106751251061862,2310
52,2.77,-0.12,1.0435876280759127,0.05844707262387516,0.6990446539420982,1677
