position,value
-3141.51370,0.000004
-3135.37793,0.000004
-3129.24216,0.000003
-3123.10639,0.000003
-3116.97062,0.000002
-3110.83485,0.000001
-3104.69908,0.000000
-3098.56331,0.000000
-3092.42754,0.000000
-3086.29177,0.000000
-3080.15601,0.000000
-3074.02024,0.000000
-3067.88447,0.000000
-3061.74870,0.000000
-3055.61293,0.000000
-3049.47716,0.000000
-3043.34139,0.000000
-3037.20562,0.000000
-3031.06985,0.000001
-3024.93409,0.000001
-3018.79832,0.000001
-3012.66255,0.000001
-3006.52678,0.000001
-3000.39101,0.000001
-2994.25524,0.000000
-2988.11947,0.000000
-2981.98370,0.000000
-2975.84793,0.000000
-2969.71216,0.000001
-2963.57640,0.000002
-2957.44063,0.000003
-2951.30486,0.000004
-2945.16909,0.000005
-2939.03332,0.000005
-2932.89755,0.000005
-2926.76178,0.000004
-2920.62601,0.000002
-2914.49024,0.000001
-2908.35448,0.000000
-2902.21871,0.000000
-2896.08294,0.000001
-2889.94717,0.000002
-2883.81140,0.000003
-2877.67563,0.000004
-2871.53986,0.000005
-2865.40409,0.000005
-2859.26832,0.000005
-2853.13256,0.000004
-2846.99679,0.000002
-2840.86102,0.000001
-2834.72525,0.000000
-2828.58948,0.000000
-2822.45371,0.000001
-2816.31794,0.000003
-2810.18217,0.000005
-2804.04640,0.000007
-2797.91063,0.000008
-2791.77487,0.000008
-2785.63910,0.000007
-2779.50333,0.000005
-2773.36756,0.000003
-2767.23179,0.000002
-2761.09602,0.000000
-2754.96025,0.000000
-2748.82448,0.000000
-2742.68871,0.000002
-2736.55295,0.000003
-2730.41718,0.000004
-2724.28141,0.000005
-2718.14564,0.000005
-2712.00987,0.000004
-2705.87410,0.000003
-2699.73833,0.000001
-2693.60256,0.000000
-2687.46679,0.000000
-2681.33102,0.000001
-2675.19526,0.000003
-2669.05949,0.000005
-2662.92372,0.000007
-2656.78795,0.000009
-2650.65218,0.000010
-2644.51641,0.000010
-2638.38064,0.000008
-2632.24487,0.000006
-2626.10910,0.000004
-2619.97334,0.000002
-2613.83757,0.000000
-2607.70180,0.000000
-2601.56603,0.000001
-2595.43026,0.000002
-2589.29449,0.000004
-2583.15872,0.000006
-2577.02295,0.000007
-2570.88718,0.000007
-2564.75142,0.000007
-2558.61565,0.000005
-2552.47988,0.000004
-2546.34411,0.000002
-2540.20834,0.000001
-2534.07257,0.000000
-2527.93680,0.000000
-2521.80103,0.000000
-2515.66526,0.000000
-2509.52949,0.000000
-2503.39373,0.000000
-2497.25796,0.000000
-2491.12219,0.000000
-2484.98642,0.000000
-2478.85065,0.000000
-2472.71488,0.000001
-2466.57911,0.000002
-2460.44334,0.000004
-2454.30757,0.000005
-2448.17181,0.000006
-2442.03604,0.000006
-2435.90027,0.000005
-2429.76450,0.000004
-2423.62873,0.000003
-2417.49296,0.000001
-2411.35719,0.000000
-2405.22142,0.000000
-2399.08565,0.000001
-2392.94988,0.000003
-2386.81412,0.000005
-2380.67835,0.000008
-2374.54258,0.000010
-2368.40681,0.000011
-2362.27104,0.000010
-2356.13527,0.000009
-2349.99950,0.000007
-2343.86373,0.000005
-2337.72796,0.000003
-2331.59220,0.000001
-2325.45643,0.000000
-2319.32066,0.000000
-2313.18489,0.000001
-2307.04912,0.000002
-2300.91335,0.000002
-2294.77758,0.000003
-2288.64181,0.000003
-2282.50604,0.000002
-2276.37028,0.000001
-2270.23451,0.000001
-2264.09874,0.000000
-2257.96297,0.000000
-2251.82720,0.000000
-2245.69143,0.000001
-2239.55566,0.000001
-2233.41989,0.000001
-2227.28412,0.000001
-2221.14835,0.000001
-2215.01259,0.000000
-2208.87682,0.000000
-2202.74105,0.000000
-2196.60528,0.000001
-2190.46951,0.000002
-2184.33374,0.000004
-2178.19797,0.000006
-2172.06220,0.000008
-2165.92643,0.000009
-2159.79067,0.000008
-2153.65490,0.000007
-2147.51913,0.000005
-2141.38336,0.000003
-2135.24759,0.000001
-2129.11182,0.000000
-2122.97605,0.000000
-2116.84028,0.000001
-2110.70451,0.000003
-2104.56874,0.000006
-2098.43298,0.000008
-2092.29721,0.000009
-2086.16144,0.000009
-2080.02567,0.000008
-2073.88990,0.000006
-2067.75413,0.000004
-2061.61836,0.000002
-2055.48259,0.000000
-2049.34682,0.000000
-2043.21106,0.000001
-2037.07529,0.000003
-2030.93952,0.000005
-2024.80375,0.000007
-2018.66798,0.000008
-2012.53221,0.000008
-2006.39644,0.000007
-2000.26067,0.000005
-1994.12490,0.000002
-1987.98914,0.000001
-1981.85337,0.000000
-1975.71760,0.000001
-1969.58183,0.000003
-1963.44606,0.000005
-1957.31029,0.000008
-1951.17452,0.000011
-1945.03875,0.000012
-1938.90298,0.000012
-1932.76721,0.000010
-1926.63145,0.000008
-1920.49568,0.000005
-1914.35991,0.000003
-1908.22414,0.000001
-1902.08837,0.000000
-1895.95260,0.000000
-1889.81683,0.000000
-1883.68106,0.000001
-1877.54529,0.000001
-1871.40953,0.000001
-1865.27376,0.000001
-1859.13799,0.000000
-1853.00222,0.000000
-1846.86645,0.000000
-1840.73068,0.000001
-1834.59491,0.000002
-1828.45914,0.000004
-1822.32337,0.000006
-1816.18761,0.000007
-1810.05184,0.000007
-1803.91607,0.000006
-1797.78030,0.000005
-1791.64453,0.000003
-1785.50876,0.000001
-1779.37299,0.000000
-1773.23722,0.000001
-1767.10145,0.000003
-1760.96568,0.000007
-1754.82992,0.000011
-1748.69415,0.000016
-1742.55838,0.000019
-1736.42261,0.000020
-1730.28684,0.000019
-1724.15107,0.000017
-1718.01530,0.000013
-1711.87953,0.000008
-1705.74376,0.000004
-1699.60800,0.000001
-1693.47223,0.000000
-1687.33646,0.000000
-1681.20069,0.000002
-1675.06492,0.000003
-1668.92915,0.000005
-1662.79338,0.000005
-1656.65761,0.000005
-1650.52184,0.000003
-1644.38607,0.000002
-1638.25031,0.000000
-1632.11454,0.000000
-1625.97877,0.000001
-1619.84300,0.000003
-1613.70723,0.000005
-1607.57146,0.000008
-1601.43569,0.000009
-1595.29992,0.000010
-1589.16415,0.000009
-1583.02839,0.000007
-1576.89262,0.000005
-1570.75685,0.000002
-1564.62108,0.000000
-1558.48531,0.000000
-1552.34954,0.000001
-1546.21377,0.000004
-1540.07800,0.000007
-1533.94223,0.000009
-1527.80647,0.000011
-1521.67070,0.000011
-1515.53493,0.000009
-1509.39916,0.000007
-1503.26339,0.000004
-1497.12762,0.000001
-1490.99185,0.000000
-1484.85608,0.000001
-1478.72031,0.000003
-1472.58454,0.000006
-1466.44878,0.000009
-1460.31301,0.000011
-1454.17724,0.000011
-1448.04147,0.000010
-1441.90570,0.000007
-1435.76993,0.000004
-1429.63416,0.000001
-1423.49839,0.000000
-1417.36262,0.000001
-1411.22686,0.000003
-1405.09109,0.000008
-1398.95532,0.000012
-1392.81955,0.000016
-1386.68378,0.000019
-1380.54801,0.000019
-1374.41224,0.000017
-1368.27647,0.000013
-1362.14070,0.000008
-1356.00493,0.000004
-1349.86917,0.000001
-1343.73340,0.000000
-1337.59763,0.000001
-1331.46186,0.000004
-1325.32609,0.000007
-1319.19032,0.000010
-1313.05455,0.000011
-1306.91878,0.000010
-1300.78301,0.000008
-1294.64725,0.000005
-1288.51148,0.000002
-1282.37571,0.000000
-1276.23994,0.000000
-1270.10417,0.000003
-1263.96840,0.000007
-1257.83263,0.000011
-1251.69686,0.000015
-1245.56109,0.000017
-1239.42533,0.000017
-1233.28956,0.000015
-1227.15379,0.000011
-1221.01802,0.000006
-1214.88225,0.000002
-1208.74648,0.000000
-1202.61071,0.000000
-1196.47494,0.000002
-1190.33917,0.000006
-1184.20340,0.000009
-1178.06764,0.000012
-1171.93187,0.000012
-1165.79610,0.000011
-1159.66033,0.000008
-1153.52456,0.000005
-1147.38879,0.000002
-1141.25302,0.000000
-1135.11725,0.000001
-1128.98148,0.000003
-1122.84572,0.000007
-1116.70995,0.000010
-1110.57418,0.000012
-1104.43841,0.000013
-1098.30264,0.000011
-1092.16687,0.000007
-1086.03110,0.000003
-1079.89533,0.000001
-1073.75956,0.000000
-1067.62379,0.000003
-1061.48803,0.000008
-1055.35226,0.000015
-1049.21649,0.000022
-1043.08072,0.000027
-1036.94495,0.000029
-1030.80918,0.000026
-1024.67341,0.000021
-1018.53764,0.000013
-1012.40187,0.000006
-1006.26611,0.000001
-1000.13034,0.000000
-993.99457,0.000004
-987.85880,0.000010
-981.72303,0.000019
-975.58726,0.000026
-969.45149,0.000030
-963.31572,0.000029
-957.17995,0.000024
-951.04419,0.000016
-944.90842,0.000008
-938.77265,0.000002
-932.63688,0.000000
-926.50111,0.000005
-920.36534,0.000015
-914.22957,0.000029
-908.09380,0.000042
-901.95803,0.000052
-895.82226,0.000056
-889.68650,0.000052
-883.55073,0.000041
-877.41496,0.000027
-871.27919,0.000013
-865.14342,0.000003
-859.00765,0.000000
-852.87188,0.000006
-846.73611,0.000018
-840.60034,0.000033
-834.46458,0.000048
-828.32881,0.000058
-822.19304,0.000060
-816.05727,0.000053
-809.92150,0.000039
-803.78573,0.000023
-797.64996,0.000008
-791.51419,0.000001
-785.37842,0.000002
-779.24265,0.000013
-773.10689,0.000030
-766.97112,0.000048
-760.83535,0.000063
-754.69958,0.000069
-748.56381,0.000065
-742.42804,0.000051
-736.29227,0.000032
-730.15650,0.000014
-724.02073,0.000002
-717.88497,0.000001
-711.74920,0.000013
-705.61343,0.000034
-699.47766,0.000061
-693.34189,0.000084
-687.20612,0.000099
-681.07035,0.000099
-674.93458,0.000085
-668.79881,0.000060
-662.66305,0.000032
-656.52728,0.000010
-650.39151,0.000000
-644.25574,0.000008
-638.11997,0.000032
-631.98420,0.000067
-625.84843,0.000104
-619.71266,0.000132
-613.57689,0.000144
-607.44112,0.000134
-601.30536,0.000106
-595.16959,0.000067
-589.03382,0.000029
-582.89805,0.000005
-576.76228,0.000002
-570.62651,0.000026
-564.49074,0.000071
-558.35497,0.000127
-552.21920,0.000179
-546.08344,0.000213
-539.94767,0.000220
-533.81190,0.000195
-527.67613,0.000147
-521.54036,0.000087
-515.40459,0.000034
-509.26882,0.000004
-503.13305,0.000005
-496.99728,0.000042
-490.86151,0.000101
-484.72575,0.000168
-478.58998,0.000223
-472.45421,0.000247
-466.31844,0.000233
-460.18267,0.000183
-454.04690,0.000114
-447.91113,0.000046
-441.77536,0.000004
-435.63959,0.000010
-429.50383,0.000066
-423.36806,0.000166
-417.23229,0.000287
-411.09652,0.000397
-404.96075,0.000465
-398.82498,0.000469
-392.68921,0.000407
-386.55344,0.000292
-380.41767,0.000158
-374.28191,0.000049
-368.14614,0.000000
-362.01037,0.000041
-355.87460,0.000167
-349.73883,0.000357
-343.60306,0.000559
-337.46729,0.000719
-331.33152,0.000791
-325.19575,0.000743
-319.05998,0.000589
-312.92422,0.000368
-306.78845,0.000151
-300.65268,0.000018
-294.51691,0.000027
-288.38114,0.000215
-282.24537,0.000550
-276.10960,0.000971
-269.97383,0.001369
-263.83806,0.001632
-257.70230,0.001682
-251.56653,0.001476
-245.43076,0.001076
-239.29499,0.000584
-233.15922,0.000169
-227.02345,0.000005
-220.88768,0.000201
-214.75191,0.000811
-208.61614,0.001728
-202.48037,0.002779
-196.34461,0.003688
-190.20884,0.004185
-184.07307,0.004104
-177.93730,0.003379
-171.80153,0.002222
-165.66576,0.000961
-159.52999,0.000112
-153.39422,0.000189
-147.25845,0.001525
-141.12269,0.004275
-134.98692,0.008068
-128.85115,0.012296
-122.71538,0.015929
-116.57961,0.017904
-110.44384,0.017448
-104.30807,0.014166
-98.17230,0.008882
-92.03653,0.003128
